Date,Open,High,Low,Close,Volume
2020-01-03 08:00:00,113.8,115.16,113.8,115.16,0.6827
2020-01-03 08:15:00,115.4,115.4,115.4,115.4,0.42
2020-01-03 08:30:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 08:45:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 09:00:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 09:15:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 09:30:00,115.4,115.4,115.4,115.4,0.0
2020-01-03 09:45:00,118.46,118.46,118.46,118.46,0.5
2020-01-03 10:00:00,118.46,118.46,118.46,118.46,0.0
2020-01-03 10:15:00,118.46,118.46,118.46,118.46,0.0
2020-01-03 10:30:00,118.46,118.46,118.46,118.46,0.0
2020-01-03 10:45:00,118.06,118.06,118.02,118.02,1.33288
2020-01-03 11:00:00,118.4,118.4,118.4,118.4,0.08539
2020-01-03 11:15:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 11:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 11:45:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 12:00:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 12:15:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 12:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 12:45:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 13:00:00,118.65,118.65,118.4,118.4,36.26909
2020-01-03 13:15:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 13:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 13:45:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 14:00:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 14:15:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 14:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 14:45:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 15:00:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 15:15:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 15:30:00,118.4,118.4,118.4,118.4,0.0
2020-01-03 15:45:00,117.65,117.65,117.59,117.59,0.28882
2020-01-03 16:00:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 16:15:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 16:30:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 16:45:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 17:00:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 17:15:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 17:30:00,117.59,117.59,117.59,117.59,0.0
2020-01-03 17:45:00,119.59,119.59,119.25,119.25,6.71017
2020-01-03 18:00:00,119.25,119.25,119.25,119.25,0.0
2020-01-03 18:15:00,119.25,119.25,119.25,119.25,0.0
2020-01-03 18:30:00,119.67,119.67,119.65,119.65,0.95827
2020-01-03 18:45:00,119.65,119.65,119.65,119.65,0.0
2020-01-03 19:00:00,119.05,119.05,119.05,119.05,0.3784
2020-01-03 19:15:00,119.05,119.05,119.05,119.05,0.0
2020-01-03 19:30:00,119.05,119.05,119.05,119.05,0.0
2020-01-03 19:45:00,119.56,119.63,119.56,119.63,0.8975
2020-01-03 20:00:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 20:15:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 20:30:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 20:45:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 21:00:00,119.63,119.63,119.63,119.63,0.0
2020-01-03 21:15:00,119.63,119.63,119.63,119.63,0.0
