Symbol,Strategy,Interval,Initial Balance,Final Balance,Performance,Trades
LTC,ADX, 8h,37.28,191.98,415.0,13
LTC,BB, 8h,37.28,156.31,319.31,49
LTC,SMA, 12h,155.88,52.5,-66.32,105
LTC,RSI, 12h,35.97,130.0,261.38,1
LTC,SO, 12h,35.97,78.2,117.39,17
LTC,EMA, 12h,35.97,67.91,88.78,105
LTC,MACD, 12h,35.97,157.98,339.16,77
LTC,ADX, 12h,35.97,149.6,315.87,13
LTC,BB, 12h,35.97,202.23,462.17,41
BCH,SMA,5m,1640.39,72.01,-95.61,945
BCH,RSI,5m,378.55,-702.65,-285.62,687
BCH,SO,5m,378.55,119.78,-68.36,3117
BCH,EMA,5m,378.55,221.56,-41.47,1117
BCH,MACD,5m,378.55,-810.14,-314.01,11069
BCH,ADX,5m,378.55,-1.46,-100.39,1637
BCH,BB,5m,378.55,186.83,-50.65,5281
BCH,SMA, 15m,1512.28,37.8,-97.5,421
BCH,RSI, 15m,348.99,-258.2,-173.99,275
BCH,SO, 15m,348.99,115.17,-67.0,1065
BCH,EMA, 15m,348.99,129.24,-62.97,477
BCH,MACD, 15m,348.99,-760.29,-317.86,3703
BCH,ADX, 15m,348.99,312.6,-10.43,593
BCH,BB, 15m,348.99,419.43,20.18,1781
BCH,SMA, 30m,1332.45,329.01,-75.31,221
BCH,RSI, 30m,307.49,-158.84,-151.66,149
BCH,SO, 30m,307.49,-536.3,-274.41,479
BCH,EMA, 30m,307.49,294.31,-4.29,257
BCH,MACD, 30m,307.49,-404.81,-231.65,1831
BCH,ADX, 30m,307.49,351.09,14.18,305
BCH,BB, 30m,307.49,399.65,29.97,741
BCH,SMA, 1h,1155.93,320.49,-72.27,149
BCH,RSI, 1h,266.75,299.25,12.18,101
BCH,SO, 1h,266.75,158.48,-40.59,269
BCH,EMA, 1h,266.75,192.32,-27.9,177
BCH,MACD, 1h,266.75,266.76,0.0,929
BCH,ADX, 1h,266.75,322.52,20.91,185
BCH,BB, 1h,266.75,456.17,71.01,357
BCH,SMA, 2h,781.17,389.22,-50.17,101
BCH,RSI, 2h,180.27,264.96,46.98,45
BCH,SO, 2h,180.27,553.2,206.87,113
BCH,EMA, 2h,180.27,412.23,128.67,109
BCH,MACD, 2h,180.27,197.73,9.69,477
BCH,ADX, 2h,180.27,462.24,156.42,81
BCH,BB, 2h,180.27,355.45,97.18,193
BCH,SMA, 4h,636.79,377.76,-40.68,69
BCH,RSI, 4h,146.95,308.47,109.91,33
BCH,SO, 4h,146.95,383.41,160.91,49
BCH,EMA, 4h,146.95,452.8,208.13,69
BCH,MACD, 4h,146.95,387.71,163.83,253
BCH,ADX, 4h,146.95,360.67,145.43,29
BCH,BB, 4h,146.95,326.68,122.3,125
BCH,SMA, 6h,518.8,494.75,-4.64,65
BCH,RSI, 6h,119.72,32.14,-73.15,15
BCH,SO, 6h,119.72,116.49,-2.7,35
BCH,EMA, 6h,119.72,482.52,303.03,65
BCH,MACD, 6h,119.72,310.08,159.0,173
BCH,ADX, 6h,119.72,474.2,296.08,29
BCH,BB, 6h,119.72,429.68,258.89,77
BCH,SMA, 8h,506.45,315.95,-37.62,73
BCH,RSI, 8h,116.87,365.37,212.62,13
BCH,SO, 8h,116.87,84.05,-28.08,27
BCH,EMA, 8h,116.87,346.81,196.74,73
BCH,MACD, 8h,116.87,336.77,188.15,133
BCH,ADX, 8h,116.87,550.2,370.76,25
BCH,BB, 8h,116.87,410.36,251.11,49
BCH,SMA, 12h,769.14,110.92,-85.58,81
BCH,RSI, 12h,177.49,333.1,87.67,9
BCH,SO, 12h,177.49,476.8,168.63,21
BCH,EMA, 12h,177.49,150.37,-15.28,61
BCH,MACD, 12h,177.49,220.5,24.23,73
BCH,ADX, 12h,177.49,345.4,94.6,13
BCH,BB, 12h,177.49,322.9,81.92,21
XRP,SMA,5m,0.27,1.49,445.76,2453
XRP,RSI,5m,0.06,0.09,43.93,1259
XRP,SO,5m,0.06,0.49,680.44,4973
XRP,EMA,5m,0.06,1.05,1562.87,2765
XRP,MACD,5m,0.06,0.49,685.82,20537
XRP,ADX,5m,0.06,0.24,280.72,3409
XRP,BB,5m,0.06,0.54,755.47,10229
XRP,SMA, 15m,0.29,1.53,433.13,1321
XRP,RSI, 15m,0.07,0.88,1218.95,507
XRP,SO, 15m,0.07,0.15,130.66,1463
XRP,EMA, 15m,0.07,1.34,1893.94,1317
XRP,MACD, 15m,0.07,-0.76,-1228.05,7223
XRP,ADX, 15m,0.07,0.76,1039.08,1193
XRP,BB, 15m,0.07,1.24,1757.08,3377
XRP,SMA, 30m,0.28,1.05,269.72,833
XRP,RSI, 30m,0.06,-0.29,-549.37,335
XRP,SO, 30m,0.06,0.14,113.24,643
XRP,EMA, 30m,0.06,1.68,2493.26,857
XRP,MACD, 30m,0.06,0.06,-4.44,3739
XRP,ADX, 30m,0.06,1.12,1620.5,581
XRP,BB, 30m,0.06,0.68,944.81,1781
XRP,SMA, 1h,0.27,1.19,336.88,701
XRP,RSI, 1h,0.06,0.73,1062.9,209
XRP,SO, 1h,0.06,0.27,326.41,349
XRP,EMA, 1h,0.06,1.19,1784.61,693
