Date,Open,High,Low,Close,Volume
2020-01-03 00:00:00,113.8,118.46,113.8,118.4,3.02097
2020-01-03 12:00:00,118.65,120.0,117.59,120.0,47.75935
2020-01-04 00:00:00,120.0,120.0,119.31,119.64,18.58734
2020-01-04 12:00:00,119.4,120.39,119.29,120.39,3.22677
2020-01-05 00:00:00,120.39,122.0,120.39,122.0,2.28809
2020-01-05 12:00:00,122.0,123.54,121.1,121.1,8.68302
2020-01-06 00:00:00,121.2,126.42,121.2,126.42,24.11298
2020-01-06 12:00:00,127.28,128.14,122.0,128.14,47.39639
2020-01-07 00:00:00,128.86,129.0,127.28,128.26,14.00402
2020-01-07 12:00:00,127.28,129.85,124.71,128.1,61.75483
2020-01-08 00:00:00,128.2,132.28,127.8,129.52,26.54455
2020-01-08 12:00:00,129.05,129.17,123.84,126.21,212.88627
2020-01-09 00:00:00,126.21,126.68,124.0,124.55,12.51708
2020-01-09 12:00:00,124.55,125.26,121.28,123.57,42.19566
2020-01-10 00:00:00,123.84,124.78,121.67,124.08,29.044
2020-01-10 12:00:00,124.78,130.58,124.55,129.99,139.0297
2020-01-11 00:00:00,129.52,130.27,128.1,128.57,25.54489
2020-01-11 12:00:00,128.14,132.6,128.1,128.51,92.67165
2020-01-12 00:00:00,128.14,130.87,127.8,129.0,29.21934
2020-01-12 12:00:00,129.05,131.57,129.05,131.57,11.80814
2020-01-13 00:00:00,130.71,130.77,127.68,128.55,19.7947
2020-01-13 12:00:00,128.14,129.68,128.14,129.05,11.2188
2020-01-14 00:00:00,129.05,136.27,129.05,136.0,79.32477
2020-01-14 12:00:00,136.15,152.68,134.14,149.3,199.2097
2020-01-15 00:00:00,149.29,153.64,143.29,147.74,90.59111
2020-01-15 12:00:00,147.38,150.82,144.38,148.88,151.3511
2020-01-16 00:00:00,149.44,149.44,142.33,146.39,19.59384
2020-01-16 12:00:00,146.41,148.32,143.06,147.54,67.14727
2020-01-17 00:00:00,145.76,156.12,145.76,153.12,148.22647
2020-01-17 12:00:00,152.3,155.76,148.5,154.85,124.02764
2020-01-18 00:00:00,155.4,155.4,149.15,151.8,30.31182
2020-01-18 12:00:00,152.59,161.05,151.8,157.34,176.94062
2020-01-19 00:00:00,157.0,159.99,148.34,149.76,89.08354
2020-01-19 12:00:00,149.76,151.91,146.21,150.34,74.57723
2020-01-20 00:00:00,149.63,150.0,142.86,143.91,657.97107
2020-01-20 12:00:00,147.42,151.55,145.78,151.53,76.86246
2020-01-21 00:00:00,149.34,151.32,146.29,151.32,178.05676
2020-01-21 12:00:00,150.47,152.5,148.32,152.48,183.55735
2020-01-22 00:00:00,152.48,153.38,150.5,151.38,15.30584
2020-01-22 12:00:00,150.62,152.13,148.32,150.47,83.33755
2020-01-23 00:00:00,150.47,150.47,143.92,146.83,108.73021
2020-01-23 12:00:00,145.91,147.33,142.05,147.33,161.95992
2020-01-24 00:00:00,147.33,147.33,140.2,144.66,24.4652
2020-01-24 12:00:00,145.67,149.42,143.66,146.98,72.30497
2020-01-25 00:00:00,146.98,147.74,143.17,144.48,18.89673
2020-01-25 12:00:00,144.1,147.66,144.1,145.0,64.70954
2020-01-26 00:00:00,144.42,148.52,144.42,147.78,89.38744
2020-01-26 12:00:00,147.78,152.0,146.89,151.79,60.23014
2020-01-27 00:00:00,152.04,153.14,149.7,149.7,15.5737
2020-01-27 12:00:00,153.43,155.68,152.89,154.16,98.8268
2020-01-28 00:00:00,154.86,156.84,154.62,156.1,33.72583
2020-01-28 12:00:00,156.1,159.67,154.7,159.67,66.18524
2020-01-29 00:00:00,159.6,161.88,159.01,159.44,30.12125
2020-01-29 12:00:00,159.03,160.5,157.81,157.81,53.2792
2020-01-30 00:00:00,156.95,159.49,155.0,158.93,45.86688
2020-01-30 12:00:00,159.11,168.91,156.07,167.0,206.91099
2020-01-31 00:00:00,166.76,166.76,163.0,163.88,27.24282
2020-01-31 12:00:00,163.46,164.03,158.85,162.71,101.01041
2020-02-01 00:00:00,162.09,166.24,162.09,162.5,17.81462
2020-02-01 12:00:00,162.09,165.29,162.0,165.29,36.06246
2020-02-02 00:00:00,163.61,172.88,160.5,171.95,39.19687
2020-02-02 12:00:00,172.26,173.72,166.23,169.73,76.21061
2020-02-03 00:00:00,170.98,176.49,169.48,170.56,110.39758
