Date,Open,High,Low,Close,Volume
2021-01-25 00:00:00,2.25,2.25,2.224,2.237,3336.892
2021-01-25 12:00:00,2.237,2.282,2.182,2.2,21658.476
2021-01-26 00:00:00,2.183,2.208,2.147,2.168,6367.998
2021-01-26 12:00:00,2.166,2.239,2.108,2.167,18331.526
2021-01-27 00:00:00,2.146,2.156,2.09,2.106,14622.658
2021-01-27 12:00:00,2.1,2.106,2.043,2.076,16530.68
2021-01-28 00:00:00,2.076,2.279,2.058,2.274,41254.238
2021-01-28 12:00:00,2.28,2.308,2.207,2.244,43542.753
2021-01-29 00:00:00,2.248,2.327,2.193,2.296,51564.373
2021-01-29 12:00:00,2.293,2.394,2.214,2.255,48617.923
2021-01-30 00:00:00,2.263,2.329,2.217,2.278,18651.258
2021-01-30 12:00:00,2.281,2.559,2.274,2.425,89163.148
2021-01-31 00:00:00,2.42,2.541,2.353,2.483,40550.301
2021-01-31 12:00:00,2.482,2.523,2.316,2.42,40471.254
2021-02-01 00:00:00,2.425,2.711,2.42,2.594,167663.445
2021-02-01 12:00:00,2.57,2.629,2.395,2.535,168005.212
2021-02-02 00:00:00,2.53,2.551,2.455,2.49,42781.918
2021-02-02 12:00:00,2.485,2.53,2.464,2.495,48409.939
2021-02-03 00:00:00,2.497,2.557,2.485,2.501,37351.113
2021-02-03 12:00:00,2.505,2.62,2.488,2.55,59866.439
2021-02-04 00:00:00,2.548,2.586,2.48,2.51,68020.778
2021-02-04 12:00:00,2.51,2.629,2.493,2.535,87510.94
2021-02-05 00:00:00,2.538,2.645,2.523,2.641,59494.6
2021-02-05 12:00:00,2.641,2.817,2.612,2.759,142884.979
2021-02-06 00:00:00,2.761,2.764,2.61,2.661,62466.932
2021-02-06 12:00:00,2.664,2.732,2.632,2.674,67540.109
2021-02-07 00:00:00,2.679,2.764,2.525,2.731,66256.716
2021-02-07 12:00:00,2.733,3.0,2.732,2.867,199124.679
2021-02-08 00:00:00,2.867,2.91,2.7,2.899,78534.724
2021-02-08 12:00:00,2.897,2.99,2.83,2.99,132579.15
2021-02-09 00:00:00,2.992,3.075,2.892,2.999,129835.68
2021-02-09 12:00:00,2.994,3.574,2.933,3.45,328536.425
